COD_ITEM;ITEM;TIPO_ITEM;UNIDAD_MEDIDA;ProductID
00010-22IEM;ARENA VERDE PLUS;E;BTS;28
000128-22;BANCO FILTROS - OMEGA INGENIEROS;E;BTS;29
00012NZDO;GUANTES DE POLIETILENO;LD;BTS;30
00013NZDO;GUANTES;LD;BTS;31
00017490NZDO;SOLUCION MEXSOL;LD;BTS;32
0001-LAVATORYDEODORANT;LAVATORY DEODORANT PN SP77006-24 NO. REV. 0001;LD;U;33
0001-MOBILHYJET;MOBIL HYJET V PN HYJETV NO. REV. 0001;LD;U;34
0001-SYNTHETIC;SYNTHETIC GREASE LOW TEMP PN MIL-PRF-23827TYPEI NO. REV. 0001;LD;U;35
0002-22NZDO;ELECTRO HOGAR Y COCINA;LD;BTS;36
0002475SH;MUEBLES ACCESORIOS Y DECORACIONES PARA EL HOGAR CAT�LOGOS COJINES-RB DECO-10535;E;BTS;37
0002479SH;MUEBLES ACCESORIOS Y DECORACIONES PAARA EL HOGAR CAT�LOGOS - RB DECO - 10549;E;BTS;38
0002502-SH;CABLES DE INSTRUMENTACION Y CONTROL 19 PALLETS 1 X40-FANU110651-8;E;BTS;39
000306 - INTERNEXA;UNIDAD DE VENTILACION. P/N: FAN-TM.;LD;U;40
000310 - INTERNEXA;UNIDAD DE VENTILACION. P/N: FAN-TM.;LD;U;41
0003163MAD;REPUESTOS Y ACCESORIOS-VESTAS;E;BTS;42
000327 - INTERNEXA;MUXPONDER. P/N: TM800G-LT.;LD;U;43
000328 - INTERNEXA;MUXPONDER. P/N: TM800G-LT.;LD;U;44
0003-ADHESIVE;ADHESIVE MEDIUM STRENGTH PN LOCTITE274 LOT. 12599750 NO. REV. 0003;LD;U;45
0003-EPOXY;EPOXY ADHESIVE PN EA9394AB LOT. JH1JAP5413 NO. REV. 0003;LD;U;46
0003-TAPE;TAPE ADHESIVE PN 051138-49498 LOT. 20064 NO. REV. 0003;LD;U;47
0004-22NZDO;ELECTRO HOGAR;LD;BTS;48
0004644SH;CEPILLOS DISCOS ABRASIVOS  HERRAMIENTAS Y ACCESORIOS DE CORTE PARA CONTRUCCION;E;BTS;49
0004703SH;CILINDRO DE RUEDA CILINDRO PRINCIPAL - INCOLBEST SA;E;BTS;50
0004-EMERGENCYKIT;EMERGENCY MEDICAL KIT NO. REV. 0004;LD;U;51
0004-FIRSTAIDKIT;FIRST AID KIT PN AA-1218 NO. REV. 0004;NE;U;52
0004-SURVIVALKIT;SURVIVAL KIT PN 3ANA NO. REV. 0004;LD;U;53
0005NAL;P14822-08-02 FIREWALL FG-500D (COMPUNET);LD;BTS;54
0006264-SH;ART�CULOS PARA HOGAR COCINA MESA Y ORGANIZACION. MUESTRAS SIN VALOR COMERCIAL;E;BTS;55
0006282SH;MOJICA CACERES JORGE RAMON PAPEL PARA DIBUJAR ART PAPER 3800 CBM;E;BTS;56
0007497-SH;VINO -PROSECO GRIGIO;E;BTS;57
0007723LAX;ESLINGA REDONDA-VESTAS;E;BTS;58
000774SSFRY;DC SOLAR PUMP;E;BTS;59
000774SWLJJ;EVAPORATING FAN;E;BTS;60
000774SWV7K;DC SOLAR PUMP;E;BTS;61
000774T3GNT;DIAMOND CORE;E;BTS;62
000774T3TSC;SOLAR PUMP 3SPS1.5;E;BTS;63
000774TBCS4;DC SOLAR PUMP;E;BTS;64
000774TBYXT;DC SOLAR PUMP;E;BTS;65
000774TMQR9;DC SOLAR PUMP;E;BTS;66
000774TNSJ7;DC SOLAR PUMP;E;BTS;67
000774TQ8PY;DC SOLAR PUMP3SPS15 95 D24 270;E;BTS;68
000774TRY3K;DC SOLAR PUMP;E;BTS;69
000774V89QF;SCREWS;E;BTS;70
0007785LAX;SLING WBET-VESTAS;E;BTS;71
0007792LAX;SHACKLE.LIFTING WIRE-VESTAS;E;BTS;72
0009-022;0009-022- SMART WATCH- H MOBILE;LD;BTS;73
0009-ADAPTADORMLG;ADAPTADOR-MLG PN H47682 NO. REV. 0009;LD;U;74
0009-ADPATERAXLE;ADAPTER AXLE NUT PN J47549 NO. REV. 0009;LD;U;75
0009-ENGINEOIL;ENGINE OIL PN MOBILJETII NO. REV. 0009;LD;U;76
0009-HIDRAULICFLUID;HIDRAULIC FLUID PN LD4 NO. REV. 0009;LD;U;77
0009-SAFETYCLIPS;SAFETY CLIPS PN S4933959-531 NO. REV. 0009;LD;U;78
0009-SYNTHETICGREASE;SYNTHETIC GREASE GENERAL PURPOSE PN MOBIL 28 NO. REV. 0009;LD;U;79
000CAP211170NZDO;PERFILES DE ALUMINIO. CONECTORES DE AUDIO;LD;U;80
000YC391;DISCO DURO-TELEFONICA 1-AVIATUR;LD;U;81
0010 EW290AV#585;0010 EW290AV#585;E;U;82
001007-JFK0014361;BOND NO. 9 ROUND BLTTR EA-BBSA;E;U;83
0010-0954-112-027;LIJA ABRASIVA VITEX VSM LATIONAMERICA SAS;E;BTS;84
0010-0954-201-043;0010-0954-201-043 JULVIPDENT LTDA CEMENTOS Y SILICONAS PARA USO DENTAL;E;BTS;85
0010-0954-202-030;0010-0954-202-030 JULVIPDENT LTDA CEMENTOS Y SILICONAS PARA USO DENTAL;E;BTS;86
0010-0954-203-023;0010-0954-203-023 JULVIPDENT LTDA SILICONAS PARA USO DENTAL;E;BTS;87
0010-0956-202-011;LIJA ABRASIVA VITEX VSM LATINOAMERICA SAS;E;BTS;88
0010194SH;TECNIALAMBRE SA CANASTAS PLASTICAS;E;BTS;89
0010194SHNZDO;TECNIALAMBRE SA CANASTAS PLASTICAS;LD;BTS;90
0010-22NZDO;ELECTRO HOGAR Y COCINA;LD;BTS;91
0010-NPINYECTOR1;INYECTOR PN 3103235-11 SN 15-169016-62223;NE;U;92
0010-NPINYECTOR10;INYECTOR PN 3103235-11 SN 15-169016-62197;NE;U;93
0010-NPINYECTOR2;INYECTOR PN 3103235-11 SN 1WM05007;NE;U;94
0010-NPINYECTOR3;INYECTOR PN 3103235-11 SN 15-169016-62229;NE;U;95
0010-NPINYECTOR4;INYECTOR PN 3103235-11 SN 4970-2;NE;U;96
0010-NPINYECTOR5;INYECTOR PN 3103235-11 SN 15-169016-65959;NE;U;97
0010-NPINYECTOR6;INYECTOR PN 3103235-11 SN 15-169016-62195;NE;U;98
0010-NPINYECTOR7;INYECTOR PN 3103235-11 SN 15-169016-62198;NE;U;99
0010-NPINYECTOR8;INYECTOR PN 3103235-11 SN ILA03582;NE;U;100
0010-NPINYECTOR9;INYECTOR PN 3103235-11 SN 15-169016-62194;NE;U;101
001103-22;CONFECCIONES-PACIFIC;E;BTS;102
0011NZDO;GUANTES. BATAS QUIJURGICAS;LD;BTS;103
0012094-SH;EMPAQUETADURA HIDRAULICA;E;BTS;104
0012095SH;CILINDRO DE RUEDA CILINDRO PRINCIPAL - INCOLBEST SA;E;BTS;105
00122-22;TEJIDOS ALGODON BLANQUEADO;E;BTS;106
00123 EXT;BEARING-TILT-PAD-513-SEAL-RP;E;U;107
00124 EXT;RUNNER-HL-SEAL540-FOR-00123-RP;E;U;108
00124 NZDO;RUNNER HL SEAL 540 FOR 00123 RP;LD;U;109
00125 EXT;BEARING-UPP.BRZ-SEAL-540-RP;E;U;110
00125 NZDO;BEARING UPP BRZ SEAL 540 RP;LD;U;111
0012552AAR;RESINA EPOXI-90HS-VESTAS;E;BTS;112
0012572AAR;EPOXY REP.SET.BLADES R9010-VESTAS;E;BTS;113
0012650AAR;BREATEX-VESTAS;E;BTS;114
0012657AAR;BOMBA HIDRAULICA-VESTAS;E;BTS;115
0012658AAR;REP LADDER-VESTAS;E;BTS;116
0012668AAR;HYDR LEVEL.FIB ADAPTER-VESTAS;E;BTS;117
0012-ADAPTADORMLG;ADAPTADOR-MLG PN H47682 NO. REV. 0012;LD;U;118
0012-ENGINEOIL;ENGINE OIL PN MOBILJETII NO. REV. 0012;LD;U;119
0012-GROUNDLOCK;GROUND LOCK SLEEVE PN J47549 NO. REV. 0012;LD;U;120
0012-HIDRAULICFLUID;HIDRAULIC FLUID PN LD4 NO. REV. 0012;LD;U;121
0012-MAINWHEEL;MAIN WHEEL ASSY PN C20195162 NO. REV. 0012;LD;U;122
0012-PROTECTORWHEEL;PROTECTOR WHEEL AXLE 2 PN 98D32403007200 NO . REV. 0012;LD;U;123
0012-SAFETYCLIPS;SAFETY CLIPS PN S4933959-531 NO. REV. 0012;LD;U;124
0012-SYNTHETICGREASE;SYNTHETIC GREASE GENERAL PURPOSE PN MOBIL 28 NO. REV. 0012;LD;U;125
0012-WHEELASSY;WHEEL ASY NLG PN 3-1531-3 NO. REV. 0012;LD;U;126
00130-22;LAMINADOS-QUALA;E;BTS;127
0013028-SH;TEXTILES DE ALGODON;E;BTS;128
001-31086020;PARTES Y ACCESORIOS PARA EQUIPO PETROLERO;E;BTS;129
0013153AAR;FABRIC HM UD0-VESTAS;E;BTS;130
0013160AAR;RING CABLE.LED LUMINARY-VESTAS;E;BTS;131
0013310AAR;FABRIC HM UD0-VESTAS;E;BTS;132
0013312AAR;YAW MOTOR 2.5KW-VESTAS;E;BTS;133
0013441AAR;CABLES-VESTAS;E;BTS;134
0013558AAR;XGE189-VESTAS;E;BTS;135
0013897AAR;CILINDRO DE CERRADURA-VESTAS;E;BTS;136
0013-EMERGENCYKIT;EMERGENCY MEDICAL KIT NO. REV. 0013;LD;U;137
0013-FIRSTAIDKIT;FIRST AID KIT NO. REV. 0013;LD;U;138
0013-KITPRECAUCION;KIT PRECAUCION UNIVERSAL NO. REV. 0013;LD;U;139
0013-MALETINSURVIVAL;MALETIN SURVIVAL NO. REV. 0013;LD;U;140
0014074AAR;MANGUERA DE AIRE-VESTAS;E;BTS;141
0014232AAR;RADIADOR-VESTAS;E;BTS;142
00143-22;LAMINADOS-QUALA;E;BTS;143
00144 EXT;RUNNER-560-MTR-FOR-00145-RP;E;U;144
00145 EXT;BEARING-TILT-PAD-560-MTR-RP;E;U;145
0014618AAR;AGUJA DE VALVULA-VESTAS;E;BTS;146
0014621AAR;PASTA LIBRE DE METALES-VESTAS;E;BTS;147
0014623AAR;CAJA DE HERRAMIENTAS-VESTAS;E;BTS;148
001-49494340;PROCESADOR INTEGRADO PARA EQUIPO DE CINEMA;E;BTS;149
001-49699274;MEDICAMENTOS TECNOFARMA;E;BTS;150
0014-MESAMETALICA1-CIAC;MESAS METALICAS DE TRABAJO ESPECIAL 2.00X1.20X0.95 FV. 0014;LD;U;151
0014-MESAMETALICA2-CIAC;MESAS METALICAS DE TRABAJO ESPECIAL 2.00X1.50X95 FV. 0014;LD;U;152
0014-MESAMETALICA3-CIAC;MESAS METALICAS DE TRABAJO ESPECIAL 2.00X1.20X95 FV. 0014;LD;U;153
0014-MESAMETALICA-CIAC;MESAS METALICAS DE TRABAJO ESPECIAL 2.00X1.50X0.95 FV. 0014;LD;U;154
001-50517423;001-50517423 TECNOLOGIAS MEDICAS COLOMBIA DISPOSABLE PRODUCTS;E;BTS;155
001-51953801;VALENTECH MEDICAMENTOS;E;BTS;156
001-53170946;ASPARAGINASE;E;BTS;157
001-53179490;VALENTECH MEDICAMENTOS;E;BTS;158
001-53180772;VALENTEACH MEDICAMENTOS;E;BTS;159
001-53181811;GENBIE MEDICAMENTOS;E;BTS;160
001-53181844;VALENTECH MEDICAMENTOS;E;BTS;161
001-54407231;ROPA Y CALZADO PARA DANZA;E;BTS;162
001-55210341;CAMARE DE VIGILANCIA. GRABADORA DE VIDEO DE VIGILANCIA. DISCO DURO;E;BTS;163
001-55515983;SCHLUMBERGER - SUMINISTROS PARA POZOS PETROLEROS;E;BTS;164
001-56111672;LIBROS;E;BTS;165
001-56504932;REPUESTOS PARA VEH�CULOS MAHINDRA - AUTOCOM;E;BTS;166
001-56709741;TECNOFARMA JERINGAS;E;BTS;167
001-56748414;ORTHOPEDIC INSTRUMENTS;E;BTS;168
001-56995680;SCHLUMBERGER - EQUIPO DE CAMPO PETROLERO;E;BTS;169
001-56996122;PARTES YA CCESORIOS PARA EQUIPO PETROLERO;E;BTS;170
001-57007090;CINEMA PROJECTOR PARTS;E;BTS;171
001-57025146;CALZADO Y ROPA PARA DANZA;E;BTS;172
001-57279880;MATERIAL DE SUTURA-ASSUT;E;BTS;173
001-57377891;DICE CONTENER TEST PRUEBA COVID-19;E;BTS;174
001-57377891-NZDO;DICE CONTENER REACTIVOS COVID;LD;BTS;175
001-57461762;SUMINISTROS MEDICOS;E;BTS;176
001-58173360;001-58173360 - MOTOR - JOHNSON CONTROLS;E;BTS;177
001-58495124;MATERIAL PROMOCIONAL;E;BTS;178
001-58687392;MEDICAL DEVICES ACCESORIES FOR TEST;E;BTS;179
001-58953230;MEDICURTAIN 5ML;E;BTS;180
001-58953392;MATERIAL DE SUTURA-ASSUT;E;BTS;181
001-59217572;SUMINISTROS MEDICOS;E;BTS;182
001-59217605;MEDICAL SUPPLIES;E;BTS;183
001-59217620;SUMINISTROS MEDICOS;E;BTS;184
001-59217723;MEDICAL SUPPLIES;E;BTS;185
001-59217745;SUMINISTROS MEDICOS;E;BTS;186
001-59217756;SUIMINISTROS MEDICOS;E;BTS;187
001-60093935;LENTES OFTALMICOS;E;BTS;188
001-60145676;MEDICAL SUPPLIES;E;BTS;189
001-60145680;MEDICAL SUPPLIES;E;BTS;190
001-60145691;MEDICAL SUPPLIES;E;BTS;191
001-60145702;MEDICAL SUPPLIES;E;BTS;192
001-60145713;MEDICAL SUPPLIES;E;BTS;193
001-60145724;MEDICAL SUPPLIES;E;BTS;194
001-60145735;MEDICAL SUPPLIES;E;BTS;195
001-60145761;MEDICAL SUPPLIES;E;BTS;196
001-60145772;SUMINISTROS MEDICOS;E;BTS;197
001-60145783;MEDICAL SUPPLIES;E;BTS;198
001-60145794;SUMINISTROS MEDICOS;E;BTS;199
001-60145805;SUMINISTROS MEDICOS;E;BTS;200
001-60148642;PROCYSBI;E;BTS;201
001-60515184;TECNOFARMA MEDICAMENTOS;E;BTS;202
001-60717764;VACUNAS VETERINARIAS-CEVA;E;BTS;203
001-60824934;001-60824934 NIPRO MEDICAL CORPORATION MEDICAL GOOD SUPPLIES FLEX PROGRAMMABLE R;E;BTS;204
001-60847500;MEDICAL SUPPLIES;E;BTS;205
001-60847511;MEDICAL SUPPLIES;E;BTS;206
001-60847522;SUMINISTROS MEDICOS;E;BTS;207
001-60847544;MEDICAL SUPPLIES;E;BTS;208
001-60847555;SUMINISTROS MEDICOS;E;BTS;209
001-60847566;MEDICAL SUPPLIES;E;BTS;210
001-60847570;MEDICAL SUPPLIES;E;BTS;211
001-60847592;SUMINISTOS MEDICOS;E;CTN;212
001-60847614;SUMINISTROS MEDICOS;E;BTS;213
001-60847625;SUMINISTROS MEDICOS;E;BTS;214
001-60847636;SUMINISTROS MEDICOS;E;BTS;215
001-60847640;SUMINISTROS MEDICOS;E;BTS;216
001-60847651;SUMINISTROS MEDICOS;E;BTS;217
001-60847673;SUMINISTROS MEDICOS;E;BTS;218
001-60909763;PINT PHARMA MEDICAMENTOS;E;BTS;219
001-60911830;VALENTECH MEDICAMENTOS;E;BTS;220
001-60912843;VALENTECH MEDICAMENTOS;E;BTS;221
001-60913263;PINT PHARMA MEDICAMENTOS;E;BTS;222
001-60924824;PINT PHARMA MEDICAMENTOS;E;BTS;223
001-60940913;SCHLUMBERGER - EQUIPO DE CAMPO PETROLERO;E;BTS;224
001-60941694;SCHLUMBERGER - EQUIPO DE CAMPO PETROLERO;E;BTS;225
001-60945846;SCHLUMBERGER - EQUIPO DE CAMPO PETROLERO;E;BTS;226
001-61109985;PHARMACEUTICAL PRODUCT;E;BTS;227
001-61248681;SUMINISTROS MEDICOS;E;BTS;228
001-61248692;SUMINISTROS MEDICOS;E;BTS;229
001-61248736;SUMINISTROS MEDICOS;E;BTS;230
001-61248740;SUMINISTROS MEDICOS;E;BTS;231
001-61248762;SUMINISTROS MEDICOS;E;BTS;232
001-61248773;SUMINISTROS MEDICOS;E;BTS;233
001-61248784;SUMINISTROS MEDICOS;E;BTS;234
001-61248795;SUMINISTROS MEDICOS;E;BTS;235
001-61248810;SUMINISTROS MEDICOS;E;BTS;236
001-61248821;MEDICAL SUPPLIES;E;BTS;237
001-61248832;MEDICAL SUPPLIES;E;BTS;238
001-61248843;MEDICAL SUPPLIES;E;BTS;239
001-61248854;MEDICAL SUPPLIES;E;BTS;240
001-61264884;001-61264884 NIPRO MEDICAL CORPORATION FLEX PROGRAMMABLE ROUTINE;E;BTS;241
001-61300433NZDO;001-61300433NZDO INTERBLOCK COLOMBIA SAS SILLAS PARA JUEGOS DE AZAR Y RULETAS;LD;BTS;242
001-61644752;MEDICAL GOODS SUPPLIES;E;BTS;243
001-61738821;MEDICAL SUPPLIES;E;BTS;244
001-61738843;MEDICAL SUPPLIES;E;BTS;245
001-61738854;MEDICAL SUPPLIES;E;BTS;246
001-61738865;MEDICAL SUPPLIES;E;BTS;247
001-61738876;MEDICAL SUPPLIES;E;CTN;248
001-61738880;MEDICAL SUPPLIES;E;BTS;249
001-61738891;MEDICAL SUPPLIES;E;BTS;250
001-61738902;MEDICAL SUPPLIES;E;CTN;251
001-61738913;MEDICAL SUPPLIES;E;BTS;252
001-61738924;MEDICAL SUPPLIES;E;BTS;253
001-61738946;DISPOSITIVOS DE SUMINISTROS M�DICOS;E;BTS;254
001-61738950;MEDICAL SUPPLIES;E;BTS;255
001-61738983;MEDICAL SUPPLIES;E;BTS;256
001-61738994;MEDICAL SUPPLIES;E;BTS;257
001-61896531;NIKON MICROSCOPE EQUIPMENT;E;BTS;258
001-62355182;DISPOSITIVOS DE SUMINISTROS M�DICOS;E;BTS;259
001-62355193;DISPOSITIVOS DE SUMINISTROS M�DICOS;E;BTS;260
001-62355215;DISPOSITIVOS DE SUMINISTROS M�DICOS;E;BTS;261
001-62355226;MEDICAL SUPPLIES;E;BTS;262
001-62355241;DISPOSITIVOS DE SUMINISTROS M�DICOS;E;BTS;263
001-62355252;DISPOSITIVOS DE SUMINISTROS M�DICOS;E;BTS;264
001-62355263;MEDICAL SUPPLIES;E;BTS;265
001-62355274;DISPOSITIVOS DE SUMINISTROS M�DICOS;E;BTS;266
001-62355285;MEDICAL SUPPLIES;E;BTS;267
001-62355296;DISPOSITIVOS DE SUMINISTROS M�DICOS;E;BTS;268
001-62355311;MEDICAL SUPPLIES;E;BTS;269
001-62355322;MEDICAL SUPPLIES;E;BTS;270
001-62355333;MEDICAL SUPPLIES;E;BTS;271
001-62355355;DISPOSITIVOS DE SUMINISTROS M�DICOS;E;BTS;272
001-62355366;DISPOSITIVOS DE SUMINISTROS M�DICOS;E;BTS;273
001-62355370;DISPOSITIVOS DE SUMINISTROS M�DICOS;E;BTS;274
001-62541710;EQUIPOS MEDICOS;E;BTS;275
001-62772091;MEDICAL SUPPLIES;E;BTS;276
001-62772102;MEDICAL SUPPLIES;E;BTS;277
001-62772113;MEDICAL SUPPLIES;E;BTS;278
001-62772124;MEDICAL SUPPLIES;E;BTS;279
001-62772135;MEDICAL SUPPLIES;E;BTS;280
001-62772146;MEDICAL SUPPLIES;E;BTS;281
001-62772150;MEDICAL SUPPLIES;E;BTS;282
001-62772161;MEDICAL SUPPLIES;E;BTS;283
001-62772172;MEDICAL SUPPLIES;E;BTS;284
001-62772205;MEDICAL SUPPLIES;E;BTS;285
001-62772216;MEDICAL SUPPLIES;E;BTS;286
001-62772220;MEDICAL SUPPLIES;E;BTS;287
001-62772231;SUMINISTROS MEDICOS;E;BTS;288
001-62772264;SUMINISTROS MEDICOS;E;BTS;289
001-63258370;SUMINISTROS MEDICOS;E;BTS;290
001-63258532;MEDICAL;E;BTS;291
001-63258554;MEDICAL SUPPLIES;E;BTS;292
001-63258565;MEDICAL SUPPLIES;E;BTS;293
00163NZDO;SILLAS SIN ESPALDAR - AUTOGROUP - 10772;LD;BTS;294
0016NZDO;SILLAS SIN ESPALDAR-AUTOGROUP  10366;LD;BTS;295
0016SILLAS;SILLAS - AUTOGROUP - 10949;LD;BTS;296
001-72928144;ANILLOS;E;BTS;297
001-74423436;BETAMETHASONE SODIUM PHOSPHATE;E;BTS;298
001-96452576;CHASSIS SLIDE EXTENSION DE SOFWARE EXPRO GULF;E;BTS;299
001DC409;DISCO LENOVO X86 (TELEFONICA1-CARVAJAL);LD;U;300
001GZH2202008;BASCULAS Y PARTES;E;BTS;301
001GZH2202013NZDO;PANELES SOLARES;LD;BTS;302
001GZH2203030;MOTOR VENTILADOR AXIAL. SOPLETE DE MANO. FILTRO. CONDENSADOR.-MENDEZ;E;BTS;303
001IAH31086053;ANILLO DE TORQUE;E;BTS;304
0020-0454-203-033;LIJA ABRASIVA VITEX VSM LATINOAMERICA SAS;E;BTS;305
002040-1;002040-1 INCOLDEXT SAS MALETA DE FILTRACION EXTINTORES PASA MONTA�AS REGULADOR;E;BTS;306
00213-19;ESQUINEROS BISAGRAS REMACHES CABLE PATAS GOMA TAPAS CONECTOR CONECTORES ABRAZADE;E;U;307
0021467SH;CILINDRO DE RUEDA CILINDRO PRINCIPAL - INCOLBEST SA;E;BTS;308
0021468SH;VALVULAS. PARTES PARA BOMBAS. PARTES PARA MOTORES-HIDROHERRAMIENTAS -10914;E;BTS;309
0023-JETFUELMAX;JET FUEL MAX PRESSURE PN ULT-320-DEC-EXT-004 NO. REV. 0023;LD;U;310
0023-MAPPING;MAPPING PN ULT-320-DEC-EXT-003 NO. REV. 0023;LD;U;311
002400-JFK0014361;SAMPLE CHELSEA FLOWERS 17 ML-BBSA;E;U;312
0024-ADULTCHILDLIFE;ADULT CHILD LIFE PRESERVER PN P01074-001 LOT. 21100010330 NO. REV. 0024;LD;U;313
0024-ADULTCHILDLIFE1;ADULT CHILD LIFE PRESERVER PN P01074-001 LOT. 21100010004 NO. REV. 0024;LD;U;314
0024-ADULTCHILDLIFE2;ADULT CHILD LIFE PRESERVER PN P01074-001 LOT. 21100010325 NO. REV. 0024;LD;U;315
0024-ADULTCHILDLIFE3;ADULT CHILD LIFE PRESERVER PN P01074-001 LOT. 21100010714 NO. REV. 0024;LD;U;316
0024-ADULTCHILDLIFE4;ADULT CHILD LIFE PRESERVER PN P01074-001 LOT. 21100010468 NO. REV. 0024;LD;U;317
0024-ADULTCHILDLIFE5;ADULT CHILD LIFE PRESERVER PN P01074-001 LOT. 21100010505 NO. REV. 0024;LD;U;318
0024-ADULTCHILDLIFE6;ADULT CHILD LIFE PRESERVER PN P01074-001 LOT. 21100010054 NO. REV. 0024;LD;U;319
0024-ADULTCHILDLIFE7;ADULT CHILD LIFE PRESERVER PN P01074-001 LOT. 21100010662 NO. REV. 0024;LD;U;320
0024-ADULTCHILDLIFE8;ADULT CHILD LIFE PRESERVER PN P01074-001 LOT. 21100010627 NO. REV. 0024;LD;U;321
0024-ADULTCHILDLIFE9;ADULT CHILD LIFE PRESERVER PN P01074-001 LOT. 21100010656 NO. REV. 0024;LD;U;322
0025-BATTERY;BATTERY PN AD-2758 NO. REV. 0025;LD;U;323
0025-BATTERY1;BATTERY PN 2758 NO. REV. 0025;LD;U;324
0026-FOODBOX;FOOD BOX PN BB01085 NO. REV. 0026;LD;U;325
0026-FOODBOX1;FOOD BOX PN BB01085 NO. REV. 0026;LD;U;326
0026-FOODBOX2;FOOD BOX PN BB01085 NO. REV. 0026;LD;U;327
0026-FOODBOX3;FOOD BOX PN BB01085 NO. REV. 0026;LD;U;328
0026-PROTECTORMLG;PROTECTOR RUEDA TREN PRINCIPAL NO. REV. 0026;LD;U;329
0026-PROTECTORMLG1;PROTECTOR RUEDA TREN PRINCIPAL NO. REV. 0026;LD;U;330
0026-PROTECTORMLG2;PROTECTOR RUEDA TREN PRINCIPAL NO. REV. 0026;LD;U;331
0026-PROTECTORMLG3;PROTECTOR RUEDA TREN PRINCIPAL NO. REV. 0026;LD;U;332
0027-EXTINTORCABINA;EXTINTOR DE CABINA PN 898052 NO. REV. 0027;LD;U;333
0028-EMERGENCYMEDICAL;EMERGENCY MEDICAL KIT NO. REV. 0028;LD;U;334
0028-FIRSTAIDKIT;FIRST AID KIT NO. REV. 0028;LD;U;335
0028-KITPRECAUCION;KIT PREACUACION UNIVERSAL NO. REV. 0028;LD;U;336
0028-MALETINSURVIVAL;MALETIN SURVIVAL NO. REV. 0028;LD;U;337
002-DYNAMOMETER-CIAC;DYNAMOMETER PN: 30006-0076 SN: E26177. E26173. E26176. E26179;LD;U;338
002-PORTABLESYNCHRO-CIAC;PORTABLE SYNCHRO PN: 98S27005002-103 SN: 105503-09;LD;U;339
002-TENSIOMETRO1-CIAC;TENSIOMETRO PN:T60-1001-C8-1A SN:27570;LD;U;340
002ZFCIVALCO;MATERIAL DE STOCK CIVALCO;LD;BTS;341
003-0015-01;PIEZA EN FORMA DE CAJON METALICO STORAGETEX SL500;LD;U;342
003-0078-01;EXPANSI�N LIBRERIA DE BACKUP TERADATA 9200;LD;U;343
0030V7GBDMV;VEG FAT;E;BTS;344
00317-19NZDO;00317-19NZDO;LD;U;345
003437-21;BANCO FILTROS - OMEGA INGENIEROS;E;BTS;346
0034-FDR;FLIGHT DATA RECORDER PN 980-4700-042 SN SSFDR-13797 NO. REV. 0034;LD;U;347
003-5027-01;DRIVE EXPASI�N LIBRERIA DE BACKUP TD9200;LD;U;348
0036R9348NC;COLORBOX;E;BTS;349
0036R93CVQC;SPEAKER DIAPHRAGM;E;BTS;350
0036R93YZS7;RUBBER HOSE;E;BTS;351
0036R977PDC;LINEAR ACTUATOR;E;BTS;352
0036R97KGVT;NIAL TIPS;E;BTS;353
